Uid,ClusterId,Categories
183219009880065,1,"4100,1003,10677050,"
183219009880065,1,"4100,1003,10677051,"
183219009880065,1,"4100,1003,10677052,"
183219009880065,1,"4100,1003,10677053,"
183219009880065,1,"4100,1003,10677054,"
183219009880065,1,"4100,1003,10677055,"
183219009880065,1,"4100,1003,10677056,"
183219009880065,1,"4100,1003,10677057,"
183219009880065,1,"4100,1003,10677058,"
183219009880065,1,"4100,1003,10677059,"
183219009880065,1,"4100,1003,10677060,"
183219009880065,1,"4100,1003,10677061,"
183219009880065,1,"4100,1003,10677062,"
183219009880065,1,"4100,1003,10677063,"
183219009880065,1,"4100,1003,10677064,"
183219009880065,1,"4100,1003,10677065,"
183219009880065,1,"4100,1003,10677066,"
183219009880065,1,"4100,1003,10677067,"
183219009880065,1,"4100,1003,10677068,"
183219009880065,1,"4100,1003,10677069,"
183219009880065,1,"4100,1003,10677070,"
183219009880065,1,"4100,1003,10677071,"
183219009880065,1,"4100,1003,10677072,"
183219009880065,1,"4100,1003,10677073,"
183219009880065,1,"4100,1003,10677074,"
183219009880065,1,"4100,1003,10677075,"
183219009880065,1,"4100,1003,10677076,"
183219009880065,1,"4100,1003,10677077,"
183219009880065,1,"4100,1003,10676981,"
183219009880065,1,"4100,1003,10676982,"
183219009880065,1,"4100,1003,11893894,"
183219009880065,1,"4100,1003,11893895,"
183219009880065,1,"4100,1003,11893896,"
183219009880065,1,"4100,1003,11893897,"
183219009880065,1,"4100,1003,11893898,"
183219009880065,1,"4100,1003,10938818,"
183219009880065,1,"4100,1003,10938819,"
183219009880065,1,"4100,1003,10938820,"
183219009880065,1,"4100,1003,10938821,"
183219009880065,1,"4100,1003,10938822,"
183219009880065,1,"4100,1003,10938823,"
183219009880065,1,"4100,1003,10938824,"
183219009880065,1,"4100,1003,10938825,"
183219009880065,1,"4100,1003,12657769,"
183219009880065,1,"4100,1003,10676983,"
183219009880065,1,"4100,1003,10676984,"
183219009880065,1,"4100,1003,10676985,"
183219009880065,1,"4100,1003,10676986,"
183219009880065,1,"4100,1003,10676987,"
183219009880065,1,"4100,1003,10676988,"
183219009880065,1,"4100,1003,10676989,"
183219009880065,1,"4100,1003,10676990,"
183219009880065,1,"4100,1003,10676991,"
183219009880065,1,"4100,1003,10676992,"
183219009880065,1,"4100,1003,10676993,"
183219009880065,1,"4100,1003,10676994,"
183219009880065,1,"4100,1003,10676995,"
