ExternalId,Name,ParentExternalId,DataSource,Buyable
270500,Shoes and Footwear,270000,Datonics,TRUE
280000,Travel,,Datonics,TRUE
280200,Camping,280000,Datonics,TRUE
280300,Car rental,280000,Datonics,TRUE
280400,Cruises,280000,Datonics,TRUE
280500,Flights,280000,Datonics,TRUE
280600,Hotels & Accommodations,280000,Datonics,TRUE
280800,Other Transportation,280000,Datonics,TRUE
280900,Spas,280000,Datonics,TRUE
281100,Family Vacations,280000,Datonics,TRUE
290000,Green Products,,Datonics,TRUE
300000,Shopping Intent,,Datonics,TRUE
300100,Etail,300000,Datonics,TRUE
300200,Value Shoppers,300000,Datonics,TRUE
300201,Coupon Shoppers,300000,Datonics,TRUE
320000,Telecommunications ,,Datonics,TRUE
320100,Cell Phone Accessories ,320000,Datonics,TRUE
320200,Cell Phone Brands ,320000,Datonics,TRUE
320201,BlackBerry ,320200,Datonics,TRUE
320202,Google  ,320200,Datonics,TRUE
320203,Iphone (Apple)  ,320200,Datonics,TRUE
320204,LG ,320200,Datonics,TRUE
320205,Microsoft / HTC,320200,Datonics,TRUE
320206,Motorola ,320200,Datonics,TRUE
320207,Nokia ,320200,Datonics,TRUE
320208,PDA  ,320200,Datonics,TRUE
320209,Samsung ,320200,Datonics,TRUE
320210,Sony Ericsson  ,320200,Datonics,TRUE
320300,Phone Carriers  ,320000,Datonics,TRUE
320301,Alltel  ,320300,Datonics,TRUE
320302,Cingular / AT & T  ,320300,Datonics,TRUE
320303,Sprint & Nextel  ,320300,Datonics,TRUE
320304,T mobile  ,320300,Datonics,TRUE
320305,U.S. Cellular ,320300,Datonics,TRUE
320306,Verizon ,320300,Datonics,TRUE
330000,CPG,,Datonics,TRUE
330100,Household & Kitchen Supplies,330000,Datonics,TRUE
330200,Personal Care Supplies ,330000,Datonics,TRUE
330300,Flowers,330000,Datonics,TRUE
340000,Food & Beverages,,Datonics,TRUE
340100,Restaurants,340000,Datonics,TRUE
340200,Recipes,340000,Datonics,TRUE
340300,Grocery Stores & Bakeries,340000,Datonics,TRUE
